DR_ID|DR_LoadTime|DR_Start|DR_End|DR_Current|CasNumber|IngredientName|MatchingStrategy|PercentofConfidence|DisclosureStatus|IsSand|SandMeshSize|SandQuality|IsResinCoated|IsArtificial
-1|2015-12-14 15:35:03.6500000|0001-01-01 00:00:00.0000000|9999-12-31 00:00:00.0000000|True|Unknown|"Unknown"|"Unknown"||Unknown|||Unknown||
2|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|0|"(2-hydroxyethyl)"|"NO CAS MATCH FOUND"||Undisclosed CAS Number but Associated Name|||||
3|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|0|"(inert) viscosity modifier"|"NO CAS MATCH FOUND"||Undisclosed CAS Number but Associated Name|||||
4|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|0|"0.00095"|"NO CAS MATCH FOUND"||Undisclosed CAS Number but Associated Name|||||
5|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|0|"1,2,4 trimethylbenzene"|"NO CAS MATCH FOUND"||Undisclosed CAS Number but Associated Name|||||
6|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|0|"100.00"|"NO CAS MATCH FOUND"||Undisclosed CAS Number but Associated Name|||||
7|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|0|"1-methoxy-2-propanol"|"NO CAS MATCH FOUND"||Undisclosed CAS Number but Associated Name|||||
8|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|0|"2 kcl water"|"NO CAS MATCH FOUND"||Undisclosed CAS Number but Associated Name|||||
9|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|0|"(9003-04-07) & koh caustic"|"NO CAS MATCH FOUND"||Undisclosed CAS Number but Associated Name|||||
10|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|0|"*proprietary non-hazardous materials"|"NO CAS MATCH FOUND"||Undisclosed Name and Number|||||
11|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|0|",5-thiadiazine-2-thione"|"NO CAS MATCH FOUND"||Undisclosed CAS Number but Associated Name|||||
