DR_ID|DR_LoadTime|DR_Start|DR_End|DR_Current|SupplierName|SupplierCategory
-1|2015-12-14 15:34:52.7000000|0001-01-01 00:00:00.0000000|9999-12-31 00:00:00.0000000|True|"Unknown"|"Unknown"
2|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"rsi"|
3|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10% mcallen city water and 90% lopez water well"|
4|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"100% btlt water well"|
5|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"100% falfurias city water"|
6|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"100% lopez 1 water"|
7|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"100% mcallen central"|
8|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"100% nabors water"|
9|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"100% palmer water well"|
10|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"14808-60-7"|
11|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15% hcl"|
12|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"2,2-dibromo-3-nitriloproprionamide"|
13|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"20016"|
14|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"216378"|
15|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"25% mo-vac yard 25%btlt well 50% oxy facility"|
16|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"370457"|
17|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"3chem, llc"|
18|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"3rd party delivered"|"NULL"
19|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"42% transfer from 158  18% city water 18% btlt pond 22% mcallen central"|
20|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"50% btlt well and 50% mcallen central"|
21|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"50% btlt, 50% city water"|
22|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"50% mcallen central 50% btlt water well"|
23|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"50% mcallen central/25% city water/25% mcallen ranch well water"|
24|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"60% mcallen ranch, 30% city water, 10% btlt water"|
25|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"60% nabors and 40% btlt pond"|
26|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"7.44"|
27|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"75% btlt, 25% nabors yard"|
28|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"7732-18-5"|
29|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"80% btlt water well 20% city water nabors yard"|
30|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"81% city water, 19% btlt pond"|
31|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"85% btlt water well 5% mcallen ranch 10% city water"|
32|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"9.08"|
33|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"90% city 10% mcallen central"|
34|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"90% mcallen central and 10% mcallen city water"|
35|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"a & c"|
36|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"a schulman inc"|
37|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"a&w water services inc"|"NULL"
38|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"ace completions"|"Pressure Pumping"
39|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"acid"|
40|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"advanced enzyme systems"|"Chemical Company"
41|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"advanced stimulation technologies"|"Pressure Pumping"
42|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"adventure"|
43|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"aegis chemical solutions"|"Chemical Company"
44|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"aexco petroleum"|
45|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"agri-empresa"|"NULL"
46|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"ahrberg mill, allen"|
47|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"air products/ air liquide"|"NULL"
48|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"akron city water"|
49|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"alice, tx"|
50|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"alkyl  pyridinium chloride"|
51|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"allchem"|
52|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"allen brothers"|
53|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"allied oil & gas services, llc"|
54|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"alta mesa holdings"|
55|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"american eagle energy"|
56|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"american energy partners"|"Oil Company"
57|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"american energy permain"|"Oil Company"
58|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"american energy utica"|"Oil Company"
59|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"american international sealing"|"NULL"
60|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"americhem"|"Chemical Company"
61|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"americo energy resources"|
62|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"amma products"|
63|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"ammonium bisulfite"|
64|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"amp chemical"|
65|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"anadarko"|"Oil Company"
66|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"anchor"|
67|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"anchor drilling fluids"|"NULL"
68|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"anhydrous"|
69|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"antero resources"|"Oil Company"
70|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"apache corporation"|"Oil Company"
71|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"apc"|
72|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"apex resources"|"Pressure Pumping"
73|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"apollo"|
74|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"appalachia drilling fluids"|
75|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"appalachian energy inc"|
76|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"appaloosa energy llc"|
77|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"appi"|
78|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"approach operating, llc"|
79|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"approach resources"|"Oil Company"
80|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"aqua tex"|
81|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"aquaness chemical"|
82|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"aquaone source"|
83|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"aquaserv"|"Water Management"
84|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"aramco services company"|
85|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"arch chemicals inc."|
86|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"archer pressure pumping"|"Pressure Pumping"
87|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"arepet"|"Proppant"
88|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"arm group"|
89|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"arris petroleum"|
90|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"arsenal energy inc"|
91|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"ashland"|"Chemical Company"
92|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"ask chemical"|"Chemical Company"
93|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"aspen polymers company"|"Chemical Company"
94|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"aspen rentals, inc"|
95|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"astro-chem lab, inc."|
96|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"athlon energy operating"|"Oil Company"
97|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"atlantic exploration"|
98|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"atlas energy"|"NULL"
99|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"atlas resin proppants"|"Proppant"
100|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"atlas resources"|"NULL"
101|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"aws company"|"Proppant"
102|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"axiall"|"NULL"
103|2016-07-01 13:34:23.4849207|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"aztec drilling & operating"|
