DR_ID|DR_LoadTime|DR_Start|DR_End|DR_Current|TradeName|IsSand|SandMeshSize|SandQuality|IsResinCoated|IsArtificial
-1|2015-12-14 15:34:57.5400000|0001-01-01 00:00:00.0000000|9999-12-31 00:00:00.0000000|True|"Unknown"|||||
2|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"rsi234"|||||
3|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"wd101"|||||
4|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"*12.5%nahypochlorite, *15% hcl, *25% nachlorite"|||||
5|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"0% - 7.5% hcl"|||||
6|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"0.00113"|||||
7|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"0.08435"|||||
8|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"1 100 mesh"|||||
9|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"1 30/50 super lc"|"Y"|30/50| ||
10|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"1% breaker o"|||||
11|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"1.100 mesh"|||||
12|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10 breaker o"|||||
13|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10 ps-50"|||||
14|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10% hcl  acid"|||||
15|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10-30% hcl"|||||
16|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10.1 - 15 hcl, b10 (high ph buffer), bxl02 borate xl, bxl03 borate xl delayed high temp, ci-150, fe 200, formic acid (fts), frw-200, htlb03 (ht liquid breaker- 10), hvg01 (turquoise-1 bulk), ici-3240 (1 gal), kcls-4, ne 100"|||||
17|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10.1-15"|||||
18|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"100 mesh ssa-2"|||||
19|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"11 paag-150l"|||||
20|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"fe ( iron control) 224"|||||
21|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"surfactant 650"|||||
22|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"(tote)"|||||
23|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"-100009377"|||||
24|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"-101822155"|||||
25|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"0.0002204004"|||||
26|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"0.14955"|||||
27|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"1 20/40 resin"|"Y"|20/40| |Y|
28|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"1 plexgel 907 le"|||||
29|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"1.22697"|||||
30|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10 acetic acid, 15 hcl acid, abk-103, aga-101, atas-100, axl-301"|||||
31|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10#water frac g"|||||
32|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10% fe acid"|||||
33|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10-30 hydrochloric acid"|||||
34|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10.1% - 15% hcl"|||||
35|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"100 mesh - proppant"|||||
36|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"100 mesh proppant"|||||
37|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"100 mesh white sand, area 1"|"Y"|100| White||
38|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"100m"|||||
39|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"	afr-805b"|||||
40|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"ibxl - 101"|||||
41|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"rsi3000"|||||
42|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"water"|||||
43|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"** information is based on the maximum potential for concentration and thus the total may be over 100"|||||
44|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"-15"|||||
45|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"0.0002441539"|||||
46|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"0.00270"|||||
47|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"0.18456"|||||
48|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"1 40/70 white"|"Y"|40/70| White||
49|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"1 paps-435l"|||||
50|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10 greenhib"|||||
51|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10 plexslick 947"|||||
52|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10%hcl acid"|||||
53|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10.1 - 15 hcl, b05 (low ph buffer), b10 (high ph buffer), bxl02 borate xl, bxl03 borate xl delayed high temp, ci-150, fe 200, frw-200, htlb03 (ht liquid breaker- 10), hvg01 (turquoise-1 bulk), ici-3240 (1 gal), kcls-4, ne 100"|||||
54|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"100 mesh - frac tech"|||||
55|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"100 mesh nw"|||||
56|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"100 mesh sand, northern white sand, acid hydrochloric 15 pct, j609, l058, a264, w054"|||||
57|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"11 pasi-100l"|||||
58|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"12-20 mesh brady sand_oklahoma"|"Y"|12/20| Brady||
59|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"14 friction reducer"|||||
60|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15 hcl acid, slickwater, sxe20"|||||
61|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15 hcl, cc-8 (clay control), feac-30, formic acid, fr-12 (anionic acrylamide), gs-1, lai-20, s-15 (surfactant), wbo-8, wg-111l, wxb-77, prc, white sand"|||||
62|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15 hydrochloric"|||||
63|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15% ferchek sc ic acid (0.3% ica)"||||Y|
64|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15% hcl acid"|||||
65|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15% hcl acid, slickwater"|||||
66|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15% hcl, slickwater, yf130flexd"|||||
67|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15% hydrochloric acid, fr-76, hai-404m(tm), losurf-300d, mc b-8520, sand-common white-100 mesh, ssa-2, bulk (100003676), sand-premium white-40/70, bulk, mc b-8510"|||||
68|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15% ne-fe acid"|||||
69|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"16/30"|"Y"|16/30| ||
70|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"16/30 sand"|"Y"|16/30| ||
71|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"18/40 versaprop"||18/40| ||Y
72|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"2 20/40 ottawa"|"Y"|20/40| Ottawa||
73|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"2 40/70white (proppant)"|"Y"|40/70| White||
74|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"2 white (proppant)"|||||
75|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"12.5 hcl"|||||
76|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"14/40 frac black"|"Y"|14/40| ||
77|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15 % nefe acid"|||||
78|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15 hcl acid, abk-103, aga-101, atas-100, axl-301"|||||
79|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15 hcl acid, slickwater, wf115"|||||
80|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15 hcl, ai-9, bioclear 5000, cc-8 (clay control), feac-30, fr-12 (anionic acrylamide), if-85, s-15 (surfactant), wbo-8, wg-111l, wxb-77"|||||
81|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15 hcl, feac-30, formic acid, fr-12 (anionic acrylamide), lai-20, s-15 (surfactant), wbo-8, wg-111l, wxb-77"|||||
82|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15 hcl, yf125st+, slickwater"|||||
83|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15# purestim b"|||||
84|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"15% hcl acid, fdp m1066-12"|||||
85|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"rsi990"|||||
86|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"% 15 hydrochloric acid"|||||
87|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"-               50 1"|||||
88|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"0.0000006933"|||||
89|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"0.00130"|||||
90|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"0.08544"|||||
91|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"1 16/30 super lc"|"Y"|16/30| ||
92|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"1 breaker o"|||||
93|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"1% breaker-3ht"|||||
94|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10 % hcl"|||||
95|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10 breaker-3ht"|||||
96|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10# liear gel"|||||
97|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10% hcl, slickwater, wf125, yf125flexd"|||||
98|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10.1 - 15 hcl                            ftsi                        acid                                   hydrogen chloride                            7647-01-0                      15.00                      0.04993                           0"|||||
99|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10.1 - 15 hcl, b10 (high ph buffer), bxl02 borate xl, bxl03 borate xl delayed high temp, ci-150, fe 200, frw-200, htlb03 (ht liquid breaker- 10), hvg01 (turquoise-1 bulk), ici-3240 (1 gal), kcls-4, ne 100"|||||
100|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"100 mesh - white"|||||
101|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"100 mesh, bulk (10k-20k lbs)*"|||||
102|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"10%hcl/10%ac blend"|||||
103|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"htls 1"|||||
104|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"%15 hydrochloric acid"|||||
105|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"- 40/70"|"Y"|40/70| ||
106|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"-101217071"|||||
107|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|">10% hcl"|||||
108|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"0.00135"|||||
109|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"0ptikieen-wf(t m)"|||||
110|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"1 kcl water"|||||
111|2016-07-01 13:34:24.9561658|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|"1 sand (proppant)"|"Y"|| ||
